artist,title
The Platters,Smoke Gets In Your Eyes (Single Version)
The Platters,The Great Pretender (Single Version)
The Pointer Sisters,"I'm So Excited (12"" Remix)"
The Postal Service,Such Great Heights (Remastered)
The Pretty Reckless,Messed up World (F'd up World)
The Proclaimers,I'm Gonna Be (500 Miles)
The Psychedelic Furs,The Ghost In You
The Rah Band,Messages from the Stars (Remaster)
The Ray Charles Singers,Sweet Little Mountain Bird
The Ray Conniff Singers,"Somewhere, My Love (Lara's Theme from ""Doctor Zhivago"") (Album Version)"
The Replacements,Answering Machine
The Replacements,Left of the Dial (Ed Stasium Mix)
The Rolling Stones,Sweet Sounds Of Heaven
The Roots,You Got Me
The Smile,The Smoke
The Soul Stirrers,Touch The Hem Of His Garment
The Staple Singers,I'll Take You There
The Streets,Let's Push Things Forward (Album Version)
The Strokes,Lonely in the Future
The Strokes,Ode To The Mets
The Style Council,Iwasadoledadstoyboy
The Sundays,Folk Song
The Sundays,Wild Horses
The Supremes,Automatically Sunshine
The Temprees,At Last
The Temptations,At Last (Album Version)
The Temptations,Papa Was A Rollin' Stone (Full Version)
The Tragically Hip,Long Time Running
The Tragically Hip,New Orleans Is Sinking
The Vampire Lestat,Brutal Love
The Vampire Lestat,Dancing With Myself
The Vampire Lestat,La Fontaine De Sang
The Velvet Underground,Sweet Jane   (Full Length Versio
The War On Drugs,Under The Pressure
The Weeknd,After Hours
The Weeknd,Call Out My Name
The Weepies,Gotta Have You
The Winstons,Amen Brother
The xx,VCR
Thee Sacred Souls,Live For You
Thelonious Monk,'Round Midnight (Remastered 2013)
Thelonious Monk,Blue Monk
Thievery Corporation,Facing East
Thievery Corporation,Le Coeur
Thievery Corporation,Lebanese Blonde
Thievery Corporation,Omid
Thin Lizzy,Emerald
Third Eye Blind,Motorcycle Drive By
This Mortal Coil,Song To The Siren
Thom Yorke,5.17
Thorsten Quaeschning,Rain On Dry Concrete
"THREESOME (Marlene, Jiro Yoshida, Makoto Kuriya)",Memories of Tomorrow (The Koln Concert - Part IIc)
Tiger Army,Never Die
TilaR,More Than A Friend
Tim Cappello,I Still Believe
Tim Curry,Sweet Transvestite
Tim Hecker,Black Refraction
Tim Hecker,Harmony in Blue I
Tim Hecker,In the Fog I
Tim Hecker,In the Fog II
Tim Maia,Réu Confesso
Tina Turner,The Best
Tinariwen,Sastanàqqàm
Tiny Habits,Right In Front Of Me
Tiny Tim,Tip Toe Thru' the Tulips with Me (Single Version)
Tlahoun Gessesse,Tchuheten Betsemu
toe,Goodbye (Live)
Tom Konkle,Alone Again (Naturally)
Tom Konkle,Camouflage (Acoustic Mix)
Tom Konkle,Honeymoon Phase (Grudgy Pajamas Version)
Tom Konkle,Illusion
Tom Konkle,Just a Regular Day (Trippy Mix)
Tom Konkle,Manipulation (The Dance)
Tom Konkle,Name On A Screen
Tom Konkle,One Last Time
Tom Konkle,Quiet Desires (Anthem Mix)
Tom Konkle,The Moment She Became Beautiful (Truth Died)
Tom Konkle,This Empty Nest
Tom Konkle,Undoing
Tom Konkle,When Did Love Become A Test
Tom Lehrer,Poisoning Pigeons in the Park
Tom Misch,Disco Yes
Tom Misch,It Runs Through Me (feat. De La Soul)
Tom Petty,I Won't Back Down
Tom Petty,Runnin' Down A Dream
Tom Petty & The Heartbreakers,American Girl
Tom Waits,House Where Nobody Lives
Tomaso Albinoni,Adagio in G Minor
Tomohisa Okudo,Always with Me
Toni Braxton,Un-Break My Heart
Tonto's Expanding Head Band,Cybernaut
Tony Bennett & Faith Hill,The Way You Look Tonight
TOOL,Lateralus
Tori Amos,A Sorta Fairytale (2023 Remaster)
Tori Amos,Rattlesnakes
Tori Amos,Winter
Toto,Georgy Porgy (album version)
Toto,Rosanna (Album Version)
Tracy Chapman,Fast Car (LP Version)
Tribal Seeds,In Your Eyes
Tricky,Hell Is Round The Corner
Tubeway Army,Are 'Friends' Electric? (1998 Remaster)
Turnstile,BLACKOUT
TV On The Radio,Wolf Like Me
Tycho,Awake
Tyler Childers,Feathered Indians
"Tyler, The Creator",NEW MAGIC WAND
"Tyler, The Creator",Ring Ring Ring
U2,Beautiful Day (Remastered 2020)
Ulrich Schnauss,I Take Comfort in Your Ignorance (2019 Version)
Underscores,Do It
Underworld,Sola Sistim
Unkle,Lonely Soul
Unkle,Rabbit in Your Headlights
Van Halen,Jump  (2015 Remaster)
Vanessa-mae,Aurora
Vanessa-mae,Bach Street Prelude
Vanessa-mae,Storm
Vanessa-mae,Toccata and Fugue in D Minor
Vangelis,La petite fille de la mer
Vanilla Ice,Ninja Rap
Various Interprets,At Last
Various Interprets,Come Tomorrow (Duet With Barry Gibb (Album Version))
VAST,Thrown Away
Vaya Con Dios,Nah Neh Nah
Vengaboys,We Like To Party! (The Vengabus)
Vicente Fernández,El Rey
Victor Babin,"Vocalise: Lentamente, Molto cantabile - 14 Romances Op. 34, No. 14 (arr. Babin - Sergei Rachmaninoff)  (Remastered 2023, Hollywood 1939)"
Victor Leksell,Skriker mitt namn
Vinicius Cantuaria,Lua e Estrela
Virus,Imágenes Paganas
Visage,Fade To Grey
Voyager,Promise
Vulfpeck,Dean Town
Vylet Pony,ANTONYMPH
Warpaint,Keep It Healthy
Wax Tailor,Seize The Day
Weird Al Yankovic,"Ode to a Superhero (Parody of ""Piano Man"" by Billy Joel)"
Whitney Houston,I Have Nothing
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me)
Whitney Houston,Saving All My Love for You
Wild Nothing,Chinatown
William Fitzsimmons,I Don't Feel It Anymore (Song of the Sparrow) (Remastered)
William Fitzsimmons,Passion Play (Live in Paris)
Willy DeVille,Heaven Stood Still
WillyB,Egyptus
Wings,Goodnight Tonight (Single Version)
Wolf Alice,Don't Delete The Kisses
Wolfsheim,Künstliche Welten
Wonder Girls,Rewind
YASSiN & Sean Terrio,All Summer
Yazoo,Only You (Remastered 2008)
YEBBA,Louie Bag  (Live at Electric Lady)
Yellow Magic Orchestra,Behind the Mask  (2018 Bob Ludwig Remastering)
Yes,Mood for a Day  (2008 Remaster)
Yo La Tengo,You Can Have It All
Young the Giant,My Body
Young the Giant,Superposition
Youssou N'Dour featuring Neneh Cherry,7 Seconds (Album Version)
Zapp,More Bounce to the Ounce (LP Version)
Zeal & Ardor,Devil Is Fine
Zeal & Ardor,Götterdämmerung
Zeynep Bastık,Her Yerde Sen (Akustik)
Zoé,Labios Rotos (Live 8.11.14)
Zoé,Vía Láctea
Ólafur Arnalds,saman
Анна Герман,Город влюблённых
江晴,"Má Vlast, JB 1:112-Vltava Smetana, Bedřich 伏塔瓦河 史麥塔納"
